Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
Hotel Abro Sezenler,Ankara,Russian,English(Korean),Нельзя упомянуть что-либо хорошее об этом пребывании.,"Отель Абро Сезенлер был ужасным во всех отношениях. Комната была грязной с плохо работающими удобствами. Обслуживание было ниже всякой критики, персонал не мог адекватно обслужить и решить возникающие проблемы. Были серьезные проблемы с гигиеной, а белье и полотенца были заляпаны. Отсутствие базовых удобств, таких как теплая вода и кондиционер, создавали неприемлемые отношения.",2,NEG
Hotel Abro Sezenler,Ankara,Russian,French,"Отель расположен в центре города, специалисты по уборке всегда спешат помочь.","В номере было очень жарко, а система кондиционирования не справлялась с задачей. Были проблемы с интернетом, часто сбоился. Завтрак не насыщен и выбор ограничен. Кровать была холодной и неудобной.",4,NEG
Hotel Ickale,Ankara,Russian,English(Spanish),"Отель Ickale является замечательным местом для проживания в Анкаре. Персонал очень вежлив, а номера чисты и полностью берегут личную гигиену. Расположение отличное, в близости находится множество магазинов и ресторанов.","Единственный минус - медлительный интернет. Это не большой проблема, но она все же есть.",8,POS
Hotel Ickale,Ankara,Russian,English(Russian),"Отель Ickale обеспечил комфортное проживание. Услуги высокого уровня, особенно впечатлила отзывчивость персонала. Наслаждался каждым завтраком, и расположение также удобное - легко добраться до главных достопримечательностей Анкары. Достаточно чисто и уютно в номерах.","Сложно найти недостатки, но парковка могла бы быть просторнее.",9,POS
Hotel Ickale,Ankara,Russian,English(Romanian),"Гостиница Ickale в Анкаре превзошла мои ожидания. Номера были просторными, чистыми и комфортабельными. Персонал был невероятно дружелюбным и полезным, делая всё, чтобы сделать наше пребывание максимально комфортным. Бронирование номера в этом отеле придает путешествию в Анкару особую изюминку.","Единственное, что мне не понравилось, это слабый сигнал Wi-Fi в некоторых частях отеля.",8,POS
Hotel Ickale,Ankara,Russian,Romanian,"Отличный сервис, теплая и приятная атмосфера, качественный завтрак","Немного далеко от центра города, но это не большая проблема",8,POS
Hotel Ickale,Ankara,Russian,English(Turkish),"Отель Ickale оставил на меня очень приятное впечатление. Очень удобное расположение, близость до главных достопримечательностей, доброжелательный персонал. В номерах чисто, уютно, есть все необходимое для комфортного проживания. Завтраки разнообразные, вкусные.","Вообще нет ничего негативного, что я смогла бы указать.",9,POS
Hotel Ickale,Ankara,Russian,Korean,Расположение было удобным для моего поездка,"Отель очень старый, номера нуждаются в ремонте. обслуживание оставляло желать лучшего. Щедрое завтрак также не оставлял положительного впечатления",5,NEG
Hotel Ickale,Ankara,Russian,English(Korean),Нет позитивных моментов для упоминания,"Плохой сервис, грязные комнаты, неприятный персонал. Завтрак оставляет желать лучшего, еда была невкусной. Определенно не рекомендую эту гостиницу.",2,NEG
Hotel Ickale,Ankara,Russian,English(Turkish),"Отель находится в хорошем месте, недалеко от центра города.","Плохой опыт пребывания в этом отеле. Комнаты были ужасными, они были грязными и пахло неприятно. Белье и полотенца, также были грязными. Ванная комната была несколько старой и представляла из себя печальное зрелище. Кроме того, персонал был не очень дружелюбным и недостаточно полезным. Я рассчитывал на гораздо более высокий уровень обслуживания от гостиницы такого уровня. На завтраке был маленький выбор блюд, и то что было - оставляло желать лучшего. Отель нуждается в ремонте и модернизации и, честно говоря, не стоит своей цены. Я не рекомендую этот отель для проживания.",2,NEG
Hotel Ickale,Ankara,Russian,English(French),"Местоположение отеля было вполне удобное, легко добираться до основных достопримечательностей.","Услуги в отеле оставляли желать лучшего. Номера были грязными, постельное белье и полотенца старые и изношенные. Обслуживание было медленным и персонал казался равнодушным к потребностям гостей. Кроме того, Wi-Fi был нестабильным, что создавало дополнительные неудобства.",4,NEG
Hotel Ickale,Ankara,Russian,Russian,"Центральное расположение отеля, удобно для пеших прогулок.","Пожалуй, самый крупный минус отеля – это его номера. Они оказались старыми, с видимыми следами прежнего эксплуатации, что особенно заметно в ванной комнате. Рядом идут строительные работы, поэтому спать с открытыми окнами просто невозможно. Завтраки очень однообразные, никакого разнообразия именно фруктов, каждый день одни и те же. Персонал в основном приветливый, но некоторые из них практически не говорят по-английски, что вызывает трудности в общении. В общем и целом, отель требует капитального ремонта, и я бы не рекомендовала его своим знакомым.",4,NEG
Hotel Ickale,Ankara,Russian,English(Turkish),"Гостиница расположена в близости от достопримечательностей. Комната была просторная, но немного устаревшая. Завтрак обширный, блюда вкусные.","Напорном матрасе была вырва дыра, что было очень неудобно. Wifi работал очень плохо. В ванной комнате была проблема с водой - ее либо не было вовсе, либо она шла очень слабым напором, что сильно мешало.",4,NEG
Hotel Ickale,Ankara,Russian,English(Russian),"Область отеля близка к центру, но это единственный плюс.","Неравились пробелемы с чистотой, плохой звукоизоляцией, персонал не очень дружелюбный и некомпетентный.  Потому я не могу рекомендовать данный отель другим туристам.",3,NEG
Hotel Ickale,Ankara,Russian,Spanish,Расположение отеля было удобным,"Сервис в отеле был разочаровывающим, персонал не был дружелюбный. Номер был старым и не очень чистым. Ванная показалась слегка заброшенной. Бюфет завтрака был скромным, а вкус блюд оставлял много желать лучшего. Общий опыт был далек от моей ожидаемой качества.",2,NEG
New Park Hotel,Ankara,Russian,English(Italian),"Отель Нью Парк в Анкаре поразил меня своей чистотой, приветливым персоналом и вкусной едой. Расположение отеля также было удобно, с легким доступом к основным достопримечательностям города.","Ничего отрицательного сказать не могу, так как мне все очень понравилось.",9,POS
New Park Hotel,Ankara,Russian,English(Chinese),"Новый Park Hotel оказался лучшим выбором для нашей поездки в Анкару. Персонал был очень приветливым, обслуживание высокого уровня. Номера просторные, великолепно обставленные и крайне чистые. Завтраки также были великолепными со множеством вариантов на выбор.","Единственное, что несколько расстроило, это скорость Wi-Fi. В некоторых местах отеля сигнал был неуверенный.",9,POS
New Park Hotel,Ankara,Russian,Italian,"Отель New Park в Анкаре поразил меня своим гостеприимством. Персонал был очень дружелюбный и всегда готов помочь. Номера были чистыми и уютными, что сделало мой отдых еще приятнее. Ресторан отеля предложил разнообразные вкусные блюда, которые дополнили мой положительный опыт.","Сложно назвать какие-то минусы, все было на высоком уровне.",9,POS
New Park Hotel,Ankara,Russian,English(Romanian),"Замечательный отель с приветливым и внимательным персоналом. Номера чистые, уютные и прекрасно оборудованы. Местонахождение отеля New Park идеально подходит для путешествующих, в непосредственной близости есть много достопримечательностей и ресторанов.",NaN,10,POS
New Park Hotel,Ankara,Russian,Romanian,"Очень комфортабельно и приятно. Удобное местоположение, в центре города. Персонал очень внимательный и отзывчивый.",Таких не нашлось.,8,POS
New Park Hotel,Ankara,Russian,English(French),Отели довольно удобно расположен. Персонал был дружелюбным.,"Заказанный номер был грязным при моем приезде, а в ванной комнате была утечка воды. Было шумно всю ночь из-за уличного шума, и я не мог хорошо спать. Завтрак также был очень ограниченным и не соответствовал моим ожиданиям.",3,NEG
New Park Hotel,Ankara,Russian,Italian,"Отель находится в центре города, недалеко от некоторых достопримечательностей.","Персонал отеля не достаточно вежлив и внимателен. Завтрак оставляет желать лучшего и, конечно, беспроводный интернет был вещью, которая внесла облака в мой отпуск.",5,NEG
New Park Hotel,Ankara,Russian,Romanian,Стильный лобби,"Неутешительно холодные комнаты, в ванной очень слабый напор воды, неприятный запах в коридорах",3,NEG
New Park Hotel,Ankara,Russian,Romanian,Неподалеку от центра города,"Неудобные кровати, некачественное обслуживание, условия пребывания не отвечают цене. Не рекомендую этот отель.",2,NEG
New Park Hotel,Ankara,Russian,Romanian,"Отличное местоположение. Удобные комнаты. В общем-то, неплохой завтрак.","Обслуживание невнимательное. При заселении не было горячей воды, несмотря на мои просьбы, это не устранили. WI-FI работал очень плохо.",4,NEG
New Park Hotel,Ankara,Russian,Chinese,Расположение отеля было удобным.,"Номер устаревший, мобиль в ванной был засорен, завтрак был неудовлетворительным и обслуживание общее было не на уровне.",3,NEG
New Park Hotel,Ankara,Russian,Chinese,Персонал в основном дружелюбен и общителен. Достаточно хорошее местоположение.,"Номер был довольно маленький, и в ванной комнате было очень жарко. Белье и постель были слегка застаревшие, но сменяемые регулярно. Бронирование номеров не работает как надо. Wi-Fi работает себе как ее захотелось. могли бы быть лучше.",5,NEG
New Park Hotel,Ankara,Russian,Chinese,"Расположение отеля удобное, легко добраться до центра города. ","Заезд в отель был разочаровывающим. Персонал не был интересен и не был готов помочь с нашими вопросами. Кроме того, помещение было грязное, и постельное белье было старым и изношенным. В комнате было очень шумно, а отопление периодически отключалось, что делало ее слишком холодной ночью. Качество еды в ресторане также оставляло желать лучшего.",3,NEG
Hotel Cinnah,Ankara,Russian,Russian,"Отель Cinnah в Анкаре оставил нас под большим впечатлением своей искрящейся чистотой, высочайшим качеством обслуживания и внимательностью персонала. Номера очень просторные и светлые, с комфортными кроватями и полностью оборудованными ванными комнатами. Нам также особенно понравился завтрак - разнообразный и вкусный. Расположение отеля также заслуживает отдельной похвалы - все достопримечательности находятся в шаговой доступности, что очень удобно для туристов.",Замечательно провели время и не заметили никаких минусов.,9,POS
Hotel Cinnah,Ankara,Russian,English(French),Очень чистые и комфортные номера. Персонал был дружелюбным и готовым помочь. Прекрасное местоположение рядом с зоной для походов по магазинам и ресторанам. Завтрак был очень вкусным и разнообразным.,Ни одного недостатка не обнаружено в пребывании.,9,POS
Hotel Cinnah,Ankara,Russian,English(Russian),"Отель Cinnah в Анкаре оставил только позитивные впечатления. Удобное расположение отеля, близость к основным достопримечательностям города. Стильные, комфортабельные номера с всем необходимым для пребывания. Внимательный персонал помогает в любых вопросах. Завтрак в отеле был очень вкусный и разнообразный.",Минусов не нашел.,10,POS
Hotel Cinnah,Ankara,Russian,English(Korean),"Понравились удобное расположение, высокий уровень сервиса и очень дружелюбный персонал.",Уборка в номере могла бы быть более тщательной,8,POS
Hotel Cinnah,Ankara,Russian,Romanian,"Отель Синнах в Анкаре - это то, что вам нужно. Это комфортабельно и удобно, с любыми близлежащими намеками и лучшими местами для питания. Персонал был очень внимательностьем и всегда готовостем помочь. Питание было вкусным, а комнаты чистые и красиво оформленные.","Нет ничего негативного, что я бы сказал об этом отеле.",9,POS
Hotel Cinnah,Ankara,Russian,English(Russian),Завтраки были приличными,"Бедное обслуживание, нерабочий Wi-Fi, плохая уборка и высокая цена делают этот отель нерекомендуемым для других туристов.",2,NEG
Hotel Cinnah,Ankara,Russian,English(Italian),Гостиница находится в центре города и имеет хорошие транспортные соединения.,"Несмотря на его удобное расположение, гостиница серьезно терпит некоторыми проблемами. Качество пищевых продуктов на завтрак было ниже среднего, постельное бельё не было достаточно чистым, а персонал был недобрыжелым и недостаточно ответственным.",4,NEG
Hotel Cinnah,Ankara,Russian,English(Korean),"Отель расположен в центре города, рядом с магазинами и кафе.",Номера в отеле очень маленькие и неуютные. Уборка оставляет желать лучшего. Сервис на завтраке оказался медлительным и недоброжеливым.,4,NEG
Hotel Cinnah,Ankara,Russian,French,"Положения отеля комфортное, сам отель находится в центре города","Качество пищи оставляет желать лучшего, в номерах был неприятный запах. Интернет в номере работал нестабильно. Персонал был не достаточно вежлив.",3,NEG
Hotel Cinnah,Ankara,Russian,English(Turkish),nan,"Акустика номеров не на высоте - очень слышно, когда в соседних номерах закрывают двери. Постельное бельё и полотенца были изношенные и грязные. Персонал неприятельный.",3,NEG
Hotel Cinnah,Ankara,Russian,English(Korean),"Приятный квартал города, удобные кровати","Неприветливый персонал, перерыв с водопроводом, отвалились части потолка, старые и изношенные мебель и сантехника, отсутствие свежего воздуха!",3,NEG
Hotel Cinnah,Ankara,Russian,English(French),"Отель в центре города, удобное расположение и легкий доступ к магазинам и ресторанам.","Сервис был недостаточно хорошим. Персонал не был дружелюбным или полезным, когда возникали проблемы. Комнаты более старые и нуждаются в ремонте. Были проблемы с горячей водой, и Wi-Fi был нестабильным.",4,NEG
Hotel Cinnah,Ankara,Russian,English(Spanish),"Отель расположен в центре, вымогательное географическое местоположение.","Бронирование было на три ночи, но приезда показалось, что у нас есть два лежака.На протяжении двух дней просто не удалось разрешить проблему с неСвоеменно вводять карту для входа в собственный номер. Не очень парковочное место, всегда занято. Персонал в ресторане не слишком вежливый.",4,NEG
Deeps Hostel Ankara,Ankara,Russian,English(Italian),"Остался очень доволен пребыванием в Deeps Hostel Ankara. Во-первых, услуги были на высшем уровне. Персонал был очень отзывчив и всегда был готов помочь. Во-вторых, комнаты были очень чистые и комфортные. И в-третьих, расположение гостиницы было идеальным – близко к главным достопримечательностям города.","Все было так хорошо, что трудно найти какие-либо недостатки.",9,POS
Deeps Hostel Ankara,Ankara,Russian,English(Italian),"Персонал Deeps Hostel Ankara был чрезвычайно приветливым и дружелюбным; на протяжении всего моего пребывания они помогали мне с моими просьбами. Номера были удобными и хорошо поддерживались. Расположение отеля также замечательное - находится в центре города, легко добраться до основных достопримечательностей.",Был слабый сигнал Wi-Fi в моем номере.,8,POS
Deeps Hostel Ankara,Ankara,Russian,Spanish,"Deeps Hostel Ankara - это прекрасное место, чтобы остановиться в Анкаре! Персонал замечательный и очень помогательный. Кровати удобные, и в комнатах довольно тихо. Особенно понравилась общая кухня, где можно приготовить блюдо по своему вкусу.","Несмотря на то, что wi-fi работает хорошо в общих зонах, в некоторых комнатах связь прерывается. Не всегда была горячая вода, но это не такой уж серьезный недостаток.",8,POS
Deeps Hostel Ankara,Ankara,Russian,Italian,"Deeps Hostel в Анкаре - это превосходное место для проживания. Великолепное расположение - близко к основным достопримечательностям и общественному транспорту. Комнаты очень чистые и комфортабельные, а персонал дружелюбный и полезный. Бесплатный Wi-Fi везде. Виды на город с крыши захватывают дух. Есть общая кухня, её можно использовать в любое время. Завтрак включен в стоимость и был вкусным","Однако, лестница может быть немного крутой для некоторых людей",8,POS
Deeps Hostel Ankara,Ankara,Russian,Russian,Великолепное обслуживание и очень дружелюбный персонал. Номера чистые и уютные. Очень рекомендую этот отель!,nan,10,POS
Deeps Hostel Ankara,Ankara,Russian,Spanish,Общительная кухня была хорошо оборудована.,"Номера были неухоженные, с тонными белым шумом из-за дорожного движения. Постель и полотенца были старые и изложены. В душе не хватало горячей воды.",3,NEG
Deeps Hostel Ankara,Ankara,Russian,English(German),дешево,"неудобные кровати, низкое качество еды, плохой Wi-Fi и несимпатичный персонал",2,NEG
Deeps Hostel Ankara,Ankara,Russian,English(Korean),Персонал был доброжелательный,"Салон не был совсем чистым. Номера крайне маленькие, с плохой звукоизоляцией. В нашем номере не работал кондиционер. Душ и туалет находились в ужасном состоянии.",3,NEG
Deeps Hostel Ankara,Ankara,Russian,English(Russian),Гостиница находится неподалеку от центра города,"Постельное белье не было чистым, а также в номере были тараканы. Wi-Fi имел очень низкую скорость и постоянно отключался. Персонал не был достаточно ответственным и доброжелательным.",2,NEG
Deeps Hostel Ankara,Ankara,Russian,English(Italian),"Удобное местоположение, недалеко от метро","Отель был грязным, его не очень хорошо укомплектованный. персонал был недоброжелательным, и еда была очень посредственной",3,NEG
Deeps Hostel Ankara,Ankara,Russian,English(Italian),"Местоположение довольно удобное, рядом много достопримечательностей","Хостел оставил меня недовольным. Во-первых, в номере было жутко жарко и воздух был сухим. Кондиционер работал плохо. Во-вторых, ванная комната была грязной и старой, к тому же постоянно были проблемы с горячей водой. В-третьих, персонал не был дружелюбным и гостеприимным, на любой вопрос или просьбу отвечали нервно и недоброжелательно.",2,NEG
Deeps Hostel Ankara,Ankara,Russian,Korean,хорошее месторасположение и доброжелательный персонал,"1.матрас проваливается до пола
2.за окном всю ночь гудит огромный генератор. даже беруши не помогают 
3. между полом и стеной дырка с палец и воняет плесенью, так как за стеной ванная комната.",2,NEG
Deeps Hostel Ankara,Ankara,Russian,Spanish,Месторасположение близко к центру.,"Очень старые и неухоживаемые места, плохая звукоизоляция, плохой Wi-Fi.",3,NEG
Esila Hotel,Ankara,Russian,Italian,"Номера очень чистые и комфортабельные. Завтраки разнообразные, понравилось. Персонал дружелюбный и внимательный.","Гостины не находится прямо в центре города, до некоторых достопримечательностей надо ездить на такси.",9,POS
Esila Hotel,Ankara,Russian,English(Chinese),"Отличный отель с уютным персоналом. Комнаты чистые и просторные, а вид на город просто изумительная. Завтрак был вкусный и сочетаетки богатый.","В ванной комнате не было обычного душа, только ванна.",8,POS
Esila Hotel,Ankara,Russian,Chinese,"Очень дружелюбный персонал, отличные завтраки, удобное расположение рядом с магазинами и ресторанами. Комнаты были чистые и ухоженные.","Интернет-соединение могло быть более стабильным, но это не повлияло на общее положительное впечатление.",8,POS
Esila Hotel,Ankara,Russian,English(Korean),"Замечательный персонал, очень дружелюбны и внимательны. Комнаты были чистые и уютные. Обеды в ресторане оставляли только положительные впечатления.","Некоторые удобства отеля могли бы быть лучше. Например, Wi-Fi иногда был нестабильным.",8,POS
Esila Hotel,Ankara,Russian,English(Russian),"Очень чисто и комфортно. Удобное расположение отеля, близко исторического центра. Персонал очень вежливый и готов помогать по любым вопросам.",Немного ограниченный выбор блюд в ресторане.,8,POS
Esila Hotel,Ankara,Russian,English(Romanian),Доброжелательный персонал,"Номера в отеле были устаревшими и неухоживаемыми, пища в ресторане отстойного качества, Wi-Fi работал нестабильно.",3,NEG
Esila Hotel,Ankara,Russian,English(Chinese),Удобное расположение отеля,"Отель располагается грязно, номера старые и нуждаются в ремонте. В комнате был сильный запах сигарет. Служба по приему гостей должна быть много лучше.",2,NEG
Esila Hotel,Ankara,Russian,English(French),Близость к историческим местам и приятный персонал,"Номер был небольшой и были проблемы с кондиционером. Он не охлаждал комнату должным образом, что делало наш отдых менее комфортным. Также, уборка номеров не была достаточно хорошей, каждый раз мы находили пыль и грязь. Завтраки были однообразными и скучными. Не было достаточного выбора блюд, и качество продуктов было сомнительным. Обслуживание в ресторане оставляло желать лучшего. В общем, ожидали большего от этого отеля.",3,NEG
Esila Hotel,Ankara,Russian,Korean,"Хорошее расположение, недалеко от центра города. Обслуживание было вежливым.","Номер был темным и не впечатляющим; мебель была старой и изношенной. Освещение не было достаточным, что сделало номер депрессивным. Кроме того, завтрак был скудным и не соответствовал моим ожиданиям.",4,NEG
Esila Hotel,Ankara,Russian,English(Turkish),Удобное расположение в центре города,"Номера были грязные, обслуживание было ужасное, и кажется, что гостиница уже давно не обновлялась",3,NEG
Esila Hotel,Ankara,Russian,Turkish,"Отель находится в центре города, что удобно для туристов.",Услуги отеля оставляют желать лучшего. Номера старые и требуют ремонта. Персонал не очень внимателен и не готов помочь с проблемами. Завтрак был ограниченным и не всегда свежим. Также услуги Wi-fi были очень слабыми.,3,NEG
Esila Hotel,Ankara,Russian,English(German),"Доброжелательный персонал, своевременный дизайн и удобное местоположение.","Номер был слишком мал, и во всем обзоре довольно устаревший. Кровати были слишком жесткими и некомфортными. В санузле не было холодной воды за время пробной в душе.",4,NEG
Esila Hotel,Ankara,Russian,English(French),Отель расположен в центре города,Номер был неудобным и незапечатлююще грязным. В баньо не было горячей воды во время моего пребывания. Ресторан отеля предложил очень ограниченный выбор блюд. Персонал был нестабилен и недружелюбен.,2,NEG
Asal Hotel,Ankara,Russian,English(Spanish),"Отель поражает своим чистотой и уютом. Персонал очень приветливый и внимательный. Расположение отеля весьма удобное, недалеко от главных достопримечательностей Анкары.",Интернет местами мог быть стабильнее.,9,POS
Asal Hotel,Ankara,Russian,English(Russian),"Отель Asal в Анкаре был прекрасным местом для проживания. Номера были чистыми и уютными, кровати удобные, и белье всегда свежее. Персонал был дубовольно внимательным и приятным. Близкость к центру города сделала это идеальным местом для проживания!",nan,9,POS
Asal Hotel,Ankara,Russian,English(Chinese),"Отель Asal в Ankara предлагает непревзойденно хороший уровень обслуживания. Просторные номера, чистота и качественная мебель понравились.","Кондиционер периодически слишком шумит, но это мелочь.",8,POS
Asal Hotel,Ankara,Russian,English(Romanian),"Отель Asal в Анкаре оставил довольно приятные впечатления. Персонал был отзывчивым и помогал в решении всех возникающих вопросов. Номера приятно удивили своей чистотой и комфортом. Интерьер отеля выполнен в уютном и стильном дизайне. Позавтракать можно в ресторане отеля, который предлагал разнообразное меню на любой вкус.",Иногда в номерах было немного шумно из-за дороги поблизости. Однако это не стало большой проблемой для нас.,8,POS
